Dataset,Discovery Method,Model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
Sepsis,GTM-5,0,0.9799600321237136,0.9208695652173913,0.9494963356783697,91.80128125041094,0.9494050942530012,0.7599999999999999,108.57331395149231
Sepsis,GTM-5,1,0.9807021523976973,0.9745283018867924,0.977605479843647,93.74671425224622,0.9445138904511682,0.7575757575757577,60.11699199676514
Sepsis,GTM-5,2,0.9842352391272017,0.9943181818181818,0.9892510185373027,94.46670517006523,0.940927485693211,0.7704918032786884,177.06298899650574
Sepsis,GTM-5,3,0.9870820668693009,0.9943181818181818,0.9906869111225387,94.35334576770747,0.9423029497917647,0.6969696969696969,47.87513875961304
Sepsis,GTM-5,4,0.9825049846812236,0.9943181818181818,0.9883762863073757,94.07394834074671,0.9418895127969295,0.7142857142857143,87.86246967315674
2020-ptc,GTM-5,0,0.9795937347418022,1.0,0.9896916903200548,93.3992743659561,0.88780045988978,0.731958762886598,76.96442413330078
2020-ptc,GTM-5,1,0.9742668696093354,0.9882721666161156,0.9812195450062987,92.17596324060983,0.9176494538893452,0.663716814159292,75.4439070224762
2020-ptc,GTM-5,2,0.962603511770331,0.9993400428972117,0.980627839630766,92.47445454533582,0.9166249880333606,0.7864077669902914,76.42361783981323
2020-ptc,GTM-5,3,0.9696680025000919,0.9993404781533388,0.9842806618556109,91.97148848535278,0.9229470871353459,0.7007874015748031,66.44346284866333
2020-ptc,GTM-5,4,0.9846666359428801,0.9950605087675969,0.9898362876375982,92.78514706017191,0.9238950064047484,0.7000000000000001,84.85157418251038
2012,GTM-5,0,0.9433736190655244,0.9987217399599352,0.9702589915442668,91.31771179285099,0.9783066905088078,0.7087378640776699,300.0406320095062
2012,GTM-5,1,0.9525729988955244,0.7063445215656741,0.8111852588960299,89.53522302091723,0.9806841518935923,0.7204301075268819,300.0144588947296
2012,GTM-5,2,0.9840293468756394,0.6181130435373133,0.7592850400401198,85.9890045635376,0.9487975064871745,0.6666666666666666,300.10549998283386
2012,GTM-5,3,0.9531242867001979,1.0,0.9759996260253367,91.87397859900511,0.951539097748636,0.702970297029703,300.0286898612976
2012,GTM-5,4,0.9292976924179447,0.998296379170057,0.9625621236193659,90.4614824180173,0.9815154892434295,0.724770642201835,300.03045320510864
RTF,GTM-5,0,0.9917365705219134,0.8148499658789234,0.894633602507221,95.95323828864845,0.9893204013142215,0.7560975609756097,217.67089200019836
RTF,GTM-5,1,0.9926126043099548,0.8130445315372596,0.8938997707230881,95.8825833343803,0.9893156393300303,0.7560975609756097,139.12069296836853
RTF,GTM-5,2,0.9926126043099548,0.8130445315372596,0.8938997707230881,95.8825833343803,0.9893156393300303,0.7560975609756097,157.19665575027466
RTF,GTM-5,3,0.9926126043099548,0.8130445315372596,0.8938997707230881,95.8825833343803,0.9893156393300303,0.7560975609756097,278.395290851593
RTF,GTM-5,4,0.9924663049145241,0.8227265527506673,0.8996601967834826,95.5634639156904,0.9900620529369459,0.7391304347826086,123.79908204078674
2017,GTM-5,0,0.9918146984858421,0.9489662234403,0.9699174575980374,92.20972162750111,0.9872741578949277,0.625,300.0088999271393
2017,GTM-5,1,0.9907545698610255,0.9489662234403,0.9694102633369898,92.15698871066218,0.9879166462028686,0.6565656565656566,300.05356884002686
2017,GTM-5,2,0.988819476622154,0.8033678656704921,0.8864986084001009,87.65921803788008,0.9879454757791769,0.6633663366336633,297.8411180973053
2017,GTM-5,3,0.9826142268602108,0.8033678656704921,0.8839962029984103,87.57460445598244,0.9882273994797008,0.7142857142857143,300.0443787574768
2017,GTM-5,4,0.9889715042739754,0.9489662234403,0.9685559448887691,91.73377813312399,0.9887541657729965,0.6216216216216216,300.0657207965851
2020-rfp,GTM-5,0,0.9777645296401603,1.0,0.9887572711378916,93.71130340508495,0.8718293712935969,0.6923076923076922,46.067079305648804
2020-rfp,GTM-5,1,0.9781107480105463,1.0,0.988934263659672,93.47053544340177,0.8873971272380916,0.7078651685393259,41.955814838409424
2020-rfp,GTM-5,2,0.9632576800206858,0.9980123139574344,0.9803270626955192,93.35197136847526,0.8780621013726344,0.7948717948717947,54.824888706207275
2020-rfp,GTM-5,3,0.9627183304402405,0.9988661328041953,0.98045916831543,93.17967828391566,0.8805854976911899,0.7777777777777779,50.142066955566406
2020-rfp,GTM-5,4,0.9814860753213485,1.0,0.9906565456556897,93.84747449777474,0.8792234557657579,0.7073170731707318,44.404154777526855
2020-dd,GTM-5,0,0.9569382701089797,0.9992625484442911,0.9776425461268975,93.30814698402293,0.884538717742161,0.8082191780821919,58.42026209831238
2020-dd,GTM-5,1,0.9651008442481662,0.9777517221163711,0.9713850951081948,92.36002656225536,0.8959955484522966,0.7471264367816092,62.880841970443726
2020-dd,GTM-5,2,0.9712719616509263,0.6796701554075484,0.799718607087783,88.11000177557062,0.849452005950573,0.6708860759493671,22.084825038909912
2020-dd,GTM-5,3,0.9535703170156952,0.9983448451475316,0.9754440448357022,93.36415532285775,0.8781296795090382,0.8235294117647058,84.06615686416626
2020-dd,GTM-5,4,0.976670707831127,0.6889397437319166,0.807952743730941,88.91325580345975,0.8838928446044958,0.7215189873417722,27.243705987930298
2020-id,GTM-5,0,0.9914799842454615,0.9987610345361623,0.9951071909804194,92.68155901969098,0.9370052682654787,0.5724137931034483,300.0342400074005
2020-id,GTM-5,1,0.9423136996286141,0.9813229571984435,0.9614227957720737,89.28674190897166,0.9391186531391142,0.6516129032258065,300.0348608493805
