metric,dataset,weight_share,value
ftr_precision,Sepsis,0.25,0.9943181818181818
ftr_precision,Sepsis,0.4,0.995291902071563
ftr_precision,Sepsis,0.55,0.9943181818181818
ftr_precision,Sepsis,0.7,0.9943181818181818
ftr_precision,Sepsis,0.85,0.9933774834437086
ftr_fitness,Sepsis,0.25,0.9398127852703783
ftr_fitness,Sepsis,0.4,0.9739016562765134
ftr_fitness,Sepsis,0.55,0.9228033723578535
ftr_fitness,Sepsis,0.7,0.9623315370450749
ftr_fitness,Sepsis,0.85,0.9900058935345436
simplicity,Sepsis,0.25,0.8039215686274508
simplicity,Sepsis,0.4,1.0
simplicity,Sepsis,0.55,1.0
simplicity,Sepsis,0.7,1.0
simplicity,Sepsis,0.85,1.0
refined_simplicity,Sepsis,0.25,0.83
refined_simplicity,Sepsis,0.4,0.87
refined_simplicity,Sepsis,0.55,0.94
refined_simplicity,Sepsis,0.7,0.9299999999999999
refined_simplicity,Sepsis,0.85,0.95
ftr_precision,2020-ptc,0.25,0.9960294951786727
ftr_precision,2020-ptc,0.4,1.0
ftr_precision,2020-ptc,0.55,1.0
ftr_precision,2020-ptc,0.7,0.9976992604765818
ftr_precision,2020-ptc,0.85,1.0
ftr_fitness,2020-ptc,0.25,0.9532855134628555
ftr_fitness,2020-ptc,0.4,0.9217084156972034
ftr_fitness,2020-ptc,0.55,0.9433636894836605
ftr_fitness,2020-ptc,0.7,0.9705417428481795
ftr_fitness,2020-ptc,0.85,0.9969396437787451
simplicity,2020-ptc,0.25,0.7358490566037735
simplicity,2020-ptc,0.4,0.9154929577464788
simplicity,2020-ptc,0.55,1.0
simplicity,2020-ptc,0.7,0.9682539682539683
simplicity,2020-ptc,0.85,1.0
refined_simplicity,2020-ptc,0.25,0.7
refined_simplicity,2020-ptc,0.4,0.84
refined_simplicity,2020-ptc,0.55,0.9
refined_simplicity,2020-ptc,0.7,0.89
refined_simplicity,2020-ptc,0.85,0.94
ftr_precision,2012,0.25,0.998296379170057
ftr_precision,2012,0.4,1.0
ftr_precision,2012,0.55,1.0
