Dataset,Metric,Score
*2012,Objective Fitness,85.36460403174397
*2012,Objective Fitness,87.15246148388604
*2012,Objective Fitness,81.60975081572909
*2012,Objective Fitness,87.68244699564983
*2012,Objective Fitness,89.8554273556342
2013-cp,Objective Fitness,95.8357799822341
2013-cp,Objective Fitness,95.64368101801892
2013-cp,Objective Fitness,95.62514778440612
2013-cp,Objective Fitness,95.8357799822341
2013-cp,Objective Fitness,95.8357799822341
2013-i,Objective Fitness,94.57029358858316
2013-i,Objective Fitness,94.9786304982298
2013-i,Objective Fitness,94.9786304982298
2013-i,Objective Fitness,94.57029358858316
2013-i,Objective Fitness,94.57029358858316
2013-op,Objective Fitness,95.64930847703822
2013-op,Objective Fitness,95.41958579190825
2013-op,Objective Fitness,95.64930847703822
2013-op,Objective Fitness,95.64930847703822
2013-op,Objective Fitness,96.29376586437532
*2017,Objective Fitness,73.47188352408524
*2017,Objective Fitness,71.99204459300192
*2017,Objective Fitness,68.6342739343616
*2017,Objective Fitness,76.44376418874339
*2017,Objective Fitness,71.33933980964389
*2019,Objective Fitness,65.18209645512525
*2019,Objective Fitness,64.8282759352087
*2019,Objective Fitness,67.98657273303641
*2019,Objective Fitness,65.39875185238023
*2019,Objective Fitness,65.46133483558839
2020-dd,Objective Fitness,93.72776496691438
2020-dd,Objective Fitness,92.847731798337
2020-dd,Objective Fitness,93.7784276983507
2020-dd,Objective Fitness,93.86419699178632
2020-dd,Objective Fitness,93.306520969633
*2020-id,Objective Fitness,90.24131311941392
*2020-id,Objective Fitness,76.6296044329355
*2020-id,Objective Fitness,75.0153126680763
*2020-id,Objective Fitness,87.14816730500463
*2020-id,Objective Fitness,90.91588503103064
*2020-pl,Objective Fitness,78.03489128963153
*2020-pl,Objective Fitness,75.29683583446976
*2020-pl,Objective Fitness,66.26627670182094
*2020-pl,Objective Fitness,64.7991936683471
*2020-pl,Objective Fitness,79.9817436870697
2020-ptc,Objective Fitness,93.18376453141964
2020-ptc,Objective Fitness,92.67076003524085
2020-ptc,Objective Fitness,92.12739524973472
2020-ptc,Objective Fitness,93.08704450939015
2020-ptc,Objective Fitness,92.06984213516102
2020-rfp,Objective Fitness,93.7488476116927
2020-rfp,Objective Fitness,93.81264538570238
2020-rfp,Objective Fitness,93.86240062235048
2020-rfp,Objective Fitness,94.06365908134704
2020-rfp,Objective Fitness,93.59069272412734
Nasa,Objective Fitness,69.99843256486903
Nasa,Objective Fitness,69.8132998809988
Nasa,Objective Fitness,69.78236929725747
Nasa,Objective Fitness,69.76671597714783
Nasa,Objective Fitness,69.9967957076746
*RTF,Objective Fitness,94.54999504674272
*RTF,Objective Fitness,91.02177376642356
*RTF,Objective Fitness,94.14930249618574
*RTF,Objective Fitness,94.75457363608449
*RTF,Objective Fitness,94.54890754250596
Sepsis,Objective Fitness,92.64806134850846
Sepsis,Objective Fitness,94.85540372407333
Sepsis,Objective Fitness,93.93879794689944
Sepsis,Objective Fitness,94.48443325445854
Sepsis,Objective Fitness,94.24872866670714
