random_creation_rate,elite_rate,population_size,tournament_size,tournament_rate,tournament_mutation_rate,log_filtering,objective_fitness,dataset
0.13,0.49,31,0.24,0.48,0.74,-0.0,0.9611613532929213,2013-op
0.07,0.38,28,0.21,0.59,0.89,-0.0,0.9564930847703822,2013-op
0.18,0.38,25,0.26,0.47,0.71,0.0,0.9564930847703822,2013-op
0.19,0.42,32,0.23,0.59,0.84,-0.0,0.9564930847703822,2013-op
0.06,0.36,28,0.25,0.54,0.78,0.01,0.9611613532929213,2013-op
0.13,0.49,31,0.24,0.48,0.74,-0.0,0.9562514778440613,2013-cp
0.07,0.38,28,0.21,0.59,0.89,-0.0,0.958357799822341,2013-cp
0.18,0.38,25,0.26,0.47,0.71,0.0,0.958357799822341,2013-cp
0.19,0.42,32,0.23,0.59,0.84,-0.0,0.9594536771224219,2013-cp
0.06,0.36,28,0.25,0.54,0.78,0.01,0.958357799822341,2013-cp
