random_creation_rate,elite_rate,population_size,tournament_size,tournament_rate,tournament_mutation_rate,log_filtering,objective_fitness,dataset
0.19,0.38,30,0.21,0.53,0.84,0.0,0.1406617698528983,Sepsis
0.14,0.39,28,0.21,0.58,0.84,0.0,0.11889636414136673,Sepsis
0.13,0.44,26,0.25,0.58,0.73,0.01,-0.47998634842101506,Sepsis
0.03,0.46,32,0.28,0.41,0.8,0.0,-0.3306716526972944,Sepsis
0.15,0.49,31,0.2,0.54,0.71,0.0,0.7909085219408987,Sepsis
0.2,0.35,27,0.26,0.47,0.76,0.0,-0.8685041194522027,Sepsis
0.09,0.31,33,0.22,0.55,0.85,0.0,-0.2727277653015241,Sepsis
0.2,0.4,33,0.28,0.48,0.71,0.01,0.739388141237841,Sepsis
0.16,0.36,30,0.29,0.45,0.74,0.01,0.533484922733619,Sepsis
0.01,0.42,33,0.26,0.49,0.86,0.01,0.7367275805460944,Sepsis
0.19,0.38,30,0.21,0.53,0.84,0.0,-2.7928627991794888,2020-ptc
0.14,0.39,28,0.21,0.58,0.84,0.0,-0.7557969021871079,2020-ptc
0.13,0.44,26,0.25,0.58,0.73,0.01,-0.47450976286135815,2020-ptc
0.03,0.46,32,0.28,0.41,0.8,0.0,0.035692891494429,2020-ptc
0.15,0.49,31,0.2,0.54,0.71,0.0,-1.3421490006919228,2020-ptc
0.2,0.35,27,0.26,0.47,0.76,0.0,0.24722590142111123,2020-ptc
0.09,0.31,33,0.22,0.55,0.85,0.0,-0.241542492757168,2020-ptc
0.2,0.4,33,0.28,0.48,0.71,0.01,0.3261544593494595,2020-ptc
0.16,0.36,30,0.29,0.45,0.74,0.01,-0.32640194044971993,2020-ptc
0.01,0.42,33,0.26,0.49,0.86,0.01,-1.0071856328608169,2020-ptc
0.19,0.38,30,0.21,0.53,0.84,0.0,-10.241306377056487,2012
0.14,0.39,28,0.21,0.58,0.84,0.0,-9.673787686375377,2012
0.13,0.44,26,0.25,0.58,0.73,0.01,1.7187151002569825,2012
0.03,0.46,32,0.28,0.41,0.8,0.0,-0.4603851222973803,2012
0.15,0.49,31,0.2,0.54,0.71,0.0,-2.857823950359606,2012
0.2,0.35,27,0.26,0.47,0.76,0.0,-5.171956633120646,2012
0.09,0.31,33,0.22,0.55,0.85,0.0,-8.24942985526092,2012
0.2,0.4,33,0.28,0.48,0.71,0.01,-4.356637858113756,2012
0.16,0.36,30,0.29,0.45,0.74,0.01,2.9702457075161917,2012
0.01,0.42,33,0.26,0.49,0.86,0.01,-11.145507375608274,2012
0.19,0.38,30,0.21,0.53,0.84,0.0,1.0055391048789533,RTF
0.14,0.39,28,0.21,0.58,0.84,0.0,0.9937730572376492,RTF
0.13,0.44,26,0.25,0.58,0.73,0.01,0.907924029027589,RTF
0.03,0.46,32,0.28,0.41,0.8,0.0,0.7873504857589531,RTF
0.15,0.49,31,0.2,0.54,0.71,0.0,0.11155488510202584,RTF
0.2,0.35,27,0.26,0.47,0.76,0.0,1.0047384050866592,RTF
0.09,0.31,33,0.22,0.55,0.85,0.0,0.6451167916922188,RTF
0.2,0.4,33,0.28,0.48,0.71,0.01,1.0353462496381916,RTF
0.16,0.36,30,0.29,0.45,0.74,0.01,0.907924029027589,RTF
0.01,0.42,33,0.26,0.49,0.86,0.01,1.0441710320753894,RTF
0.19,0.38,30,0.21,0.53,0.84,0.0,1.0211736392650963,2017
0.14,0.39,28,0.21,0.58,0.84,0.0,5.436190282672032,2017
0.13,0.44,26,0.25,0.58,0.73,0.01,-3.2617174800698674,2017
0.03,0.46,32,0.28,0.41,0.8,0.0,-0.42834414181948854,2017
0.15,0.49,31,0.2,0.54,0.71,0.0,3.71085768909067,2017
0.2,0.35,27,0.26,0.47,0.76,0.0,-1.9909259891809208,2017
0.09,0.31,33,0.22,0.55,0.85,0.0,-3.16774187820646,2017
0.2,0.4,33,0.28,0.48,0.71,0.01,0.7677849672259627,2017
0.16,0.36,30,0.29,0.45,0.74,0.01,-0.08477609257348838,2017
0.01,0.42,33,0.26,0.49,0.86,0.01,1.2989593820916645,2017
0.19,0.38,30,0.21,0.53,0.84,0.0,-0.6230137344464857,2020-rfp
0.14,0.39,28,0.21,0.58,0.84,0.0,-0.26951341091359293,2020-rfp
0.13,0.44,26,0.25,0.58,0.73,0.01,-1.1913532868296928,2020-rfp
0.03,0.46,32,0.28,0.41,0.8,0.0,-1.1969661265772253,2020-rfp
0.15,0.49,31,0.2,0.54,0.71,0.0,-1.4807530858910627,2020-rfp
0.2,0.35,27,0.26,0.47,0.76,0.0,-1.195902189731308,2020-rfp
0.09,0.31,33,0.22,0.55,0.85,0.0,-4.043180764031679,2020-rfp
0.2,0.4,33,0.28,0.48,0.71,0.01,-1.419131525109123,2020-rfp
0.16,0.36,30,0.29,0.45,0.74,0.01,-0.10636409960071838,2020-rfp
0.01,0.42,33,0.26,0.49,0.86,0.01,-10.9442588097505,2020-rfp
0.19,0.38,30,0.21,0.53,0.84,0.0,-0.5464384836886296,2020-dd
0.14,0.39,28,0.21,0.58,0.84,0.0,0.2231277346237522,2020-dd
0.13,0.44,26,0.25,0.58,0.73,0.01,0.06686872769030053,2020-dd
0.03,0.46,32,0.28,0.41,0.8,0.0,-4.783758089963075,2020-dd
0.15,0.49,31,0.2,0.54,0.71,0.0,0.11223310214936402,2020-dd
0.2,0.35,27,0.26,0.47,0.76,0.0,-0.2763279221977998,2020-dd
0.09,0.31,33,0.22,0.55,0.85,0.0,-0.8477211976562541,2020-dd
0.2,0.4,33,0.28,0.48,0.71,0.01,-2.3955198888045484,2020-dd
0.16,0.36,30,0.29,0.45,0.74,0.01,0.9106525128734919,2020-dd
0.01,0.42,33,0.26,0.49,0.86,0.01,-2.4695764230271022,2020-dd
0.19,0.38,30,0.21,0.53,0.84,0.0,2.4006048654609633,2020-id
0.14,0.39,28,0.21,0.58,0.84,0.0,3.5678392993392016,2020-id
0.13,0.44,26,0.25,0.58,0.73,0.01,3.608017518653375,2020-id
0.03,0.46,32,0.28,0.41,0.8,0.0,2.3405689972621277,2020-id
0.15,0.49,31,0.2,0.54,0.71,0.0,6.980752828608577,2020-id
0.2,0.35,27,0.26,0.47,0.76,0.0,3.0625926589712202,2020-id
0.09,0.31,33,0.22,0.55,0.85,0.0,3.8958416393996345,2020-id
0.2,0.4,33,0.28,0.48,0.71,0.01,5.5276181383955,2020-id
0.16,0.36,30,0.29,0.45,0.74,0.01,5.428871632743316,2020-id
0.01,0.42,33,0.26,0.49,0.86,0.01,1.3197857068695367,2020-id
0.19,0.38,30,0.21,0.53,0.84,0.0,-3.0800535372268576,2013-i
0.14,0.39,28,0.21,0.58,0.84,0.0,-3.0800535372268576,2013-i
0.13,0.44,26,0.25,0.58,0.73,0.01,-3.0800535372268576,2013-i
0.03,0.46,32,0.28,0.41,0.8,0.0,-0.0224942123896805,2013-i
0.15,0.49,31,0.2,0.54,0.71,0.0,-0.0224942123896805,2013-i
0.2,0.35,27,0.26,0.47,0.76,0.0,-0.466852017827865,2013-i
0.09,0.31,33,0.22,0.55,0.85,0.0,-3.0800535372268576,2013-i
0.2,0.4,33,0.28,0.48,0.71,0.01,-0.466852017827865,2013-i
0.16,0.36,30,0.29,0.45,0.74,0.01,0.3239472457335854,2013-i
0.01,0.42,33,0.26,0.49,0.86,0.01,0.38903609893331237,2013-i
0.19,0.38,30,0.21,0.53,0.84,0.0,-16.387680310262308,2020-pl
0.14,0.39,28,0.21,0.58,0.84,0.0,-12.648428618326157,2020-pl
0.13,0.44,26,0.25,0.58,0.73,0.01,-12.489475630707709,2020-pl
0.03,0.46,32,0.28,0.41,0.8,0.0,3.706105250803334,2020-pl
0.15,0.49,31,0.2,0.54,0.71,0.0,-8.133194300354846,2020-pl
0.2,0.35,27,0.26,0.47,0.76,0.0,0.9869100049365512,2020-pl
0.09,0.31,33,0.22,0.55,0.85,0.0,5.3614250307861155,2020-pl
0.2,0.4,33,0.28,0.48,0.71,0.01,-14.15939076481001,2020-pl
0.16,0.36,30,0.29,0.45,0.74,0.01,-18.811921434417535,2020-pl
0.01,0.42,33,0.26,0.49,0.86,0.01,1.4428260602808627,2020-pl
0.19,0.38,30,0.21,0.53,0.84,0.0,-0.3653036697518509,2013-op
0.14,0.39,28,0.21,0.58,0.84,0.0,0.3060061087243003,2013-op
0.13,0.44,26,0.25,0.58,0.73,0.01,-0.3653036697518509,2013-op
0.03,0.46,32,0.28,0.41,0.8,0.0,-0.3653036697518509,2013-op
0.15,0.49,31,0.2,0.54,0.71,0.0,0.3060061087243003,2013-op
