objective_fitness,dataset,percentage_of_log
0.87401918885334,2017,0.01
0.8755523414022746,2017,0.05
0.8763749263220042,2017,0.1
0.875811064563739,2017,0.3
0.9181133189435018,2017,0.5
0.8601528088511401,2017,1.0
0.9245950244941943,2020-ptc,0.01
0.921755033221595,2020-ptc,0.05
0.9244634294483005,2020-ptc,0.1
0.9206906530117616,2020-ptc,0.3
0.9228618028896136,2020-ptc,0.5
0.9299589681462685,2020-ptc,1.0
0.9474941037944745,2013-op,0.01
0.9474941037944745,2013-op,0.05
0.9561198072603969,2013-op,0.1
0.9495719045695307,2013-op,0.3
0.9539629964735254,2013-op,0.5
0.9474941037944745,2013-op,1.0
0.9425161174094314,RTF,0.01
0.8924199242613666,RTF,0.05
0.894921540521314,RTF,0.1
0.9345367470932097,RTF,0.3
0.9400118470046408,RTF,0.5
0.889761479065116,RTF,1.0
0.9459259772798037,Sepsis,0.01
0.9240472832467248,Sepsis,0.05
0.9470649288435466,Sepsis,0.1
0.9361544662887682,Sepsis,0.3
0.9453673114948506,Sepsis,0.5
0.9378171491605849,Sepsis,1.0
0.9356049859811055,2013-cp,0.01
0.9410186347770855,2013-cp,0.05
0.9410186347770855,2013-cp,0.1
0.9356049859811055,2013-cp,0.3
0.9356049859811055,2013-cp,0.5
0.9538898245028972,2013-cp,1.0
0.9214301760688209,2020-id,0.01
0.9144971166770519,2020-id,0.05
0.9119473445115132,2020-id,0.1
0.9064608627453137,2020-id,0.3
0.920175495913608,2020-id,0.5
0.9033419538981496,2020-id,1.0
0.9103380979171015,2019,0.01
0.8581279287067232,2019,0.05
0.9012248685401866,2019,0.1
0.8993474533056596,2019,0.3
0.7948238727659674,2019,0.5
0.9163672356472319,2019,1.0
0.9349202314029842,2020-rfp,0.01
0.9311613769893828,2020-rfp,0.05
0.9352659797735677,2020-rfp,0.1
0.9336244411559891,2020-rfp,0.3
0.935938596491228,2020-rfp,0.5
0.9350148384473134,2020-rfp,1.0
0.928885313770179,2012,0.01
0.9057069102208356,2012,0.05
0.898819012085039,2012,0.1
0.8978656701184892,2012,0.3
0.9003045889550373,2012,0.5
0.8747730077598024,2012,1.0
0.9329310472226672,2020-dd,0.01
0.9342883249634119,2020-dd,0.05
0.9345534574373374,2020-dd,0.1
0.9318600930625489,2020-dd,0.3
0.9359075620890863,2020-dd,0.5
0.9356467926184778,2020-dd,1.0
0.8563549578543213,2020-pl,0.01
0.834953214377111,2020-pl,0.05
0.865691628551815,2020-pl,0.1
0.8421375839195429,2020-pl,0.3
0.7336169922366534,2020-pl,0.5
0.8470176878563968,2020-pl,1.0
0.9500462458697951,2013-i,0.01
0.9500462458697951,2013-i,0.05
0.9125234060424902,2013-i,0.1
0.9500066208666934,2013-i,0.3
0.9500066208666934,2013-i,0.5
0.9500462458697951,2013-i,1.0
