Dataset,Discovery Method,Model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
Sepsis,GTM-1,0,0.9695165076787139,0.952183908045977,0.960772042970573,92.59459462147453,0.9426148641748128,0.6470588235294118,60.014280796051025
Sepsis,GTM-1,1,0.9854856337395177,0.9943181818181818,0.9898822053454699,94.27751635034244,0.9460876732427569,0.7534246575342466,60.03143310546875
Sepsis,GTM-1,2,0.9620251624364247,0.9813084112149533,0.9715711152208507,91.67417382460647,0.9013502462796815,0.6633663366336633,60.02595496177673
Sepsis,GTM-1,3,0.9839939119478024,0.9943181818181818,0.9891291071122925,93.58570818117542,0.9211420467177152,0.6708860759493671,60.01331305503845
Sepsis,GTM-1,4,0.9831702631916258,0.9418446160835984,0.962063856284755,92.94002569005664,0.9198709694289376,0.6551724137931035,60.00373816490173
2020-ptc,GTM-1,0,0.9633982648551318,1.0,0.9813579670512906,92.01201850591448,0.9195793515864875,0.6842105263157894,60.00734305381775
2020-ptc,GTM-1,1,0.9860207848856306,1.0,0.9929611939508607,92.5671151143008,0.9074167863745927,0.5766423357664234,60.01416802406311
2020-ptc,GTM-1,2,0.978314665277416,1.0,0.989038480529313,92.57617747065774,0.9093642459724174,0.6271186440677966,60.00584602355957
2020-ptc,GTM-1,3,0.9874364540683136,1.0,0.9936785169125943,92.91475723284715,0.9230265884940033,0.632,60.00395894050598
2020-ptc,GTM-1,4,0.9794779078250389,1.0,0.9896325732690243,92.55970037137533,0.9199234338783435,0.6551724137931035,60.00658202171326
2012,GTM-1,0,0.9476142225933244,0.6612280149702403,0.7789316525054186,80.50561604487183,0.9115035843549305,0.6603773584905661,60.31741189956665
2012,GTM-1,1,0.897847462271463,0.5146642926833656,0.6542813218885738,74.78107920359531,0.9767127609897273,0.6560509554140126,60.32250428199768
2012,GTM-1,2,0.9629287340061767,0.46331569664902994,0.6256150595651919,74.86627070936657,0.9430997504599029,0.6484848484848486,60.17744588851929
12012,GTM-1,3,0.9526561299489386,0.5367355969553067,0.68662856916155,77.23061892414717,0.9223925305936641,0.6595744680851063,60.04183864593506
