Dataset,Discovery Method,Model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
2019,GTM-30,0,0.9790027171195856,0.4449579158361978,0.6118357467555526,74.84441397355074,0.9455169458438384,0.596774193548387,1801.062611103058
2019,GTM-30,1,0.9303444330273548,0.5748067818655781,0.7105841383691801,76.4524322023249,0.8766163808500441,0.6181229773462784,1801.4593451023104
2019,GTM-30,2,0.9693364975274468,0.4722712391738454,0.6351100055986708,70.73297916693748,0.9507018090326932,0.6156351791530945,1803.4230060577393
2019,GTM-30,3,0.9924569915610172,0.4235459876066555,0.5937151020613303,72.90317547488088,0.91531757355163,0.5919732441471571,1803.831778049469
2019,GTM-30,4,0.9768364350927868,0.4059837509521852,0.5735810396577952,70.57062065243169,0.9096518785611016,0.6131147540983607,1803.827142953873
2020-pl,GTM-30,0,0.9663756966233216,0.9983043662568886,0.9820805897213668,84.96871188517534,0.8598021304997678,0.6576,1800.077602148056
2020-pl,GTM-30,1,0.9598206839328626,0.9983043662568886,0.9786843587961828,84.86418400545381,0.8705895972274674,0.6617405582922824,1800.7977120876312
2020-pl,GTM-30,2,0.9851400163486064,0.9983043662568886,0.991678504645832,85.84195667385723,0.8604068648943762,0.6636085626911316,1801.1762449741364
2020-pl,GTM-30,3,0.982629228930917,0.9983043662568886,0.9904047788743492,91.26250585102608,0.9070439598676152,0.5327102803738317,1800.0691900253296
2020-pl,GTM-30,4,0.9707038110375384,0.9966144731273804,0.9834885132586088,85.79984842042306,0.8589552500010267,0.6679245283018869,1800.4330151081083
2013-i,GTM-30,0,0.9693616365340072,0.9977590297917216,0.983355360494528,94.9786304982298,0.9433530764073944,0.7777777777777779,88.39217805862427
2013-i,GTM-30,1,0.9844890136331188,0.8759579193955019,0.9270578297505572,92.07394913963446,0.9546009561489226,0.7333333333333333,71.55968499183655
2013-i,GTM-30,2,0.9688788901387326,0.9977590297917216,0.9831069070860664,95.3077498834469,0.9325949934595732,0.7931034482758622,86.98440289497375
2013-i,GTM-30,3,0.9766393365846348,0.997760210803689,0.987086804835258,95.70043373458704,0.9584269831997372,0.7931034482758622,128.14686274528503
2013-i,GTM-30,4,0.9697966201552252,0.9888382607467062,0.9792248800457696,94.88735193673034,0.925774746492994,0.7777777777777779,78.31516480445862
2020-ptc,GTM-30,0,0.9801191181609614,1.0,0.9899597546144078,93.0176308522624,0.9175138822349056,0.7037037037037037,106.6032440662384
2020-ptc,GTM-30,1,0.9634818612109272,1.0,0.981401336314586,91.28135265099166,0.926271486796374,0.6417910447761194,60.60913896560669
