Discovery Method,Dataset,F1 Score,Log Fitness,Precision,Objective Fitness,Generalization,Simplicity,Time (s)
IM,2012,0.238,0.97,0.136,55.83,0.948,0.611,9.928393125534058
IM,2020-ptc,0.269,0.986,0.156,58.923,0.886,0.59,0.2907202243804931
IM,2013-op,0.951,1.0,0.907,82.947,0.933,0.692,0.0052196979522705
IM,RTF,0.773,1.0,0.63,63.194,0.975,0.624,0.633450984954834
IM,2020-dd,0.562,1.0,0.391,75.426,0.855,0.6,1.2065589427947998
IM,2020-id,0.376,0.97,0.233,50.992,0.877,0.622,0.4907832145690918
IM,2017,0.263,1.0,0.152,63.252,0.948,0.628,42.98790097236633
IM,2019,0.381,1.0,0.235,56.365,0.915,0.589,36.17128896713257
IM,2020-pl,0.185,1.0,0.102,51.849,0.862,0.595,4.596970796585083
IM,2020-rfp,0.501,1.0,0.334,72.984,0.867,0.6,0.0683679580688476
IM,2013-i,0.77,1.0,0.626,79.158,0.871,0.667,0.126255989074707
IM,2013-cp,0.885,1.0,0.793,85.703,0.877,0.66,0.0161809921264648
IM,Sepsis,0.486,1.0,0.321,66.013,0.902,0.622,0.223682165145874
