simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,objective_fitness,f1_score,dataset,miner,time,ftr_fitness
0.656,0.979,66.761,0.98,0.976,66.761,0.347,69.938,0.512,2012,Genetic Miner (1 minute),60.15483283996582,0.9258360083041715
0.714,0.922,0.0,0.951,0.956,0.0,1.0,91.36,0.978,2020-ptc,Genetic Miner (1 minute),60.00536298751831,0.9560196796192143
0.76,0.955,78.144,0.98,0.974,78.144,0.997,95.649,0.985,2013-op,Genetic Miner (1 minute),1.7519760131835938,0.9787715517241379
0.667,0.99,91.93,0.984,0.988,91.93,0.749,91.022,0.852,RTF,Genetic Miner (1 minute),60.0653178691864,0.9891606137299929
0.676,0.871,63.99,0.974,0.976,63.99,0.848,89.078,0.907,2020-dd,Genetic Miner (1 minute),38.60629987716675,0.9777563555670362
0.61,0.818,0.062,0.921,0.927,0.062,0.246,63.626,0.388,2020-id,Genetic Miner (1 minute),60.04990291595459,0.9217389273126123
0.674,0.962,58.844,0.986,0.985,58.844,0.302,67.711,0.462,2017,Genetic Miner (1 minute),64.28636908531189,0.9544798353624517
0.608,0.93,97.224,0.996,0.997,97.224,0.379,64.767,0.549,2019,Genetic Miner (1 minute),62.23700404167175,0.862946625914346
0.62,0.912,84.643,0.989,0.991,84.643,0.164,57.839,0.281,2020-pl,Genetic Miner (1 minute),60.03504490852356,0.755835356969041
0.75,0.878,0.0,0.96,0.967,0.0,1.0,93.12,0.983,2020-rfp,Genetic Miner (1 minute),54.815256118774414,0.9668071654373024
0.793,0.955,0.053,0.951,0.968,0.053,0.998,95.303,0.983,2013-i,Genetic Miner (1 minute),60.04015803337097,0.9684676039884851
0.8,0.944,89.24,0.988,0.983,89.24,0.963,95.625,0.973,2013-cp,Genetic Miner (1 minute),4.25380802154541,0.9886428489898413
0.681,0.945,0.0,0.968,0.984,0.0,0.994,93.956,0.989,Sepsis,Genetic Miner (1 minute),60.018338203430176,0.9842626168336146
0.676,0.924,5.768,0.931,0.933,5.768,0.242,69.349,0.385,Nasa,Genetic Miner (1 minute),60.268786907196045,0.9539098277339904
0.688,0.937,0.0,0.829,0.912,0.0,0.862,85.273,0.886,2012,Genetic Miner (5 minutes),300.0788617134094,0.9144898302149673
0.626,0.92,0.333,0.988,0.989,0.333,1.0,93.029,0.994,2020-ptc,Genetic Miner (5 minutes),84.18512320518494,0.9887532182056339
0.8,0.966,79.731,0.982,0.982,79.731,0.985,96.116,0.983,2013-op,Genetic Miner (5 minutes),1.9527168273925781,0.9852470671880554
0.804,0.992,0.0,0.897,0.937,0.0,1.0,93.074,0.967,RTF,Genetic Miner (5 minutes),300.1487789154053,0.9367057295815939
0.691,0.905,0.0,0.962,0.968,0.0,1.0,92.721,0.984,2020-dd,Genetic Miner (5 minutes),63.97204875946045,0.9683860713769686
0.66,0.94,0.0,0.926,0.93,0.0,0.998,89.158,0.963,2020-id,Genetic Miner (5 minutes),300.05486512184143,0.9299867568830822
0.674,0.939,22.356,0.967,0.965,22.356,0.327,69.746,0.488,2017,Genetic Miner (5 minutes),300.0247449874878,0.9620009051040446
0.608,0.923,95.201,0.996,0.997,95.201,0.441,65.038,0.611,2019,Genetic Miner (5 minutes),302.75810289382935,0.8420877588141037
0.637,0.795,0.0,0.866,0.877,0.0,0.988,79.892,0.929,2020-pl,Genetic Miner (5 minutes),300.1884298324585,0.8770537836314996
0.723,0.828,1.046,0.916,0.922,1.046,0.981,88.967,0.951,2020-rfp,Genetic Miner (5 minutes),54.520625829696655,0.9223417353931932
0.793,0.957,45.83,0.975,0.971,45.83,0.978,95.001,0.975,2013-i,Genetic Miner (5 minutes),114.73551893234253,0.9743226615281034
0.8,0.944,89.24,0.988,0.983,89.24,0.963,95.625,0.973,2013-cp,Genetic Miner (5 minutes),4.085845947265625,0.9886428489898413
0.739,0.947,0.0,0.979,0.988,0.0,0.994,94.525,0.991,Sepsis,Genetic Miner (5 minutes),155.86491584777832,0.9883607574370034
0.679,0.901,3.235,0.943,0.943,3.235,0.229,69.841,0.368,Nasa,Genetic Miner (5 minutes),300.5028920173645,0.9627596901777482
0.656,0.956,43.203,0.952,0.962,43.203,0.8,85.973,0.874,2012,Genetic Miner (30 minutes),1800.0698890686035,0.9719351784791022
0.593,0.91,0.333,0.985,0.986,0.333,1.0,92.926,0.993,2020-ptc,Genetic Miner (30 minutes),103.87782692909241,0.9858683525474154
0.76,0.955,78.144,0.98,0.974,78.144,0.997,95.649,0.985,2013-op,Genetic Miner (30 minutes),1.9708831310272217,0.9787715517241379
0.702,0.99,76.088,0.908,0.973,76.088,0.734,91.047,0.837,RTF,Genetic Miner (30 minutes),204.7454161643982,0.9743008694059567
0.677,0.901,1.286,0.971,0.972,1.286,1.0,92.943,0.985,2020-dd,Genetic Miner (30 minutes),47.30685806274414,0.9716036750096098
0.651,0.946,0.0,0.935,0.936,0.0,0.985,88.781,0.96,2020-id,Genetic Miner (30 minutes),713.5763781070709,0.9364291748940283
0.703,0.923,0.0,0.868,0.879,0.0,0.735,78.426,0.801,2017,Genetic Miner (30 minutes),1801.9601728916168,0.8790570811253706
0.605,0.839,2.476,0.831,0.86,2.476,0.645,71.988,0.737,2019,Genetic Miner (30 minutes),1800.3142399787903,0.8623448730828436
0.684,0.785,0.694,0.873,0.914,0.694,0.646,71.847,0.757,2020-pl,Genetic Miner (30 minutes),1800.2154591083527,0.9123512736966344
0.707,0.879,1.046,0.98,0.982,1.046,1.0,93.87,0.991,2020-rfp,Genetic Miner (30 minutes),71.18519401550293,0.9819334309813627
0.8,0.943,0.0,0.942,0.962,0.0,0.999,95.37,0.98,2013-i,Genetic Miner (30 minutes),98.963543176651,0.9617883014270621
0.8,0.944,89.307,0.939,0.943,89.307,0.97,95.836,0.956,2013-cp,Genetic Miner (30 minutes),4.918008089065552,0.9886734168525828
0.731,0.945,0.0,0.97,0.986,0.0,0.994,94.31,0.99,Sepsis,Genetic Miner (30 minutes),128.51786613464355,0.9858215003736724
0.694,0.88,2.806,0.963,0.965,2.806,0.222,70.69,0.361,Nasa,Genetic Miner (30 minutes),1329.40594124794,0.9771647768342139
