simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,objective_fitness,f1_score,dataset,miner,time,ftr_fitness
0.72,0.945,0.0,0.875,0.964,0.0,1.0,92.305,0.982,2012,Genetic Miner (30 minutes),1512.6472029685974,0.9641735497309774
0.658,0.897,0.0,0.979,0.983,0.0,1.0,93.034,0.992,2020-ptc,Genetic Miner (30 minutes),127.96701717376709,0.9831559764391943
0.76,0.955,78.144,0.98,0.974,78.144,0.997,95.649,0.985,2013-op,Genetic Miner (30 minutes),1.8215689659118652,0.9787715517241379
0.787,0.991,47.458,0.868,0.949,47.458,0.998,93.801,0.973,RTF,Genetic Miner (30 minutes),1231.0065960884094,0.9519383391451786
0.676,0.88,1.286,0.978,0.981,1.286,0.998,93.695,0.989,2020-dd,Genetic Miner (30 minutes),82.56456708908081,0.9805286570551421
0.575,0.924,0.0,0.969,0.97,0.0,0.941,89.58,0.955,2020-id,Genetic Miner (30 minutes),348.417160987854,0.9702208569842177
0.672,0.944,0.0,0.891,0.899,0.0,0.532,72.766,0.669,2017,Genetic Miner (30 minutes),1841.5289011001587,0.9095202710124891
0.603,0.909,87.872,0.994,0.992,87.872,0.402,67.694,0.572,2019,Genetic Miner (30 minutes),1839.6467609405518,0.8726362051959787
0.678,0.816,0.156,0.936,0.943,0.156,0.993,83.658,0.967,2020-pl,Genetic Miner (30 minutes),1802.7011609077454,0.9418635346231257
0.709,0.904,0.0,0.943,0.954,0.0,1.0,91.475,0.977,2020-rfp,Genetic Miner (30 minutes),36.7567241191864,0.9555723344900606
0.818,0.948,25.391,0.951,0.959,25.391,0.965,94.57,0.962,2013-i,Genetic Miner (30 minutes),75.4436240196228,0.9646111558430741
0.8,0.944,89.24,0.988,0.983,89.24,0.963,95.625,0.973,2013-cp,Genetic Miner (30 minutes),4.365061044692993,0.9886428489898413
0.746,0.945,0.0,0.949,0.976,0.0,0.977,93.205,0.976,Sepsis,Genetic Miner (30 minutes),159.41492104530334,0.9754323465337584
0.691,0.876,3.663,0.962,0.967,3.663,0.222,70.87,0.361,Nasa,Genetic Miner (30 minutes),1563.9870917797089,0.9810184017416467
