Dataset,Discovery Method,model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
2012,GM,1,0.9012696422592488,0.9532666958837608,0.9265392284921206,87.15246148388604,0.7796531702331042,0.6275862068965516,300.0248200893402
2013-cp,GM,0,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,6.380457878112793
2013-i,GM,0,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,110.6783561706543
2013-op,GM,0,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,2.3190648555755615
2017,GM,1,0.8784114729160313,0.5565564396762218,0.6813888417250057,71.99204459300192,0.954281937719417,0.6864864864864865,301.84372901916504
2019,GM,3,0.9872669875419696,0.3785989135817447,0.5473131858566785,65.39875185238023,0.9271769079540072,0.6028368794326242,303.4334542751312
2020-dd,GM,0,0.9858373188741424,0.997719931597948,0.9917430335017732,93.72776496691438,0.9049920033254713,0.7204301075268819,69.23319101333618
2020-id,GM,3,0.9436448053480372,0.9793970610513558,0.9611885889563888,87.14816730500463,0.919211904762082,0.6431535269709544,300.0861990451813
2020-pl,GM,1,0.933372614504512,0.8816362053959965,0.9067670427269946,75.29683583446976,0.8703050824458441,0.6363636363636362,300.22109484672546
2020-ptc,GM,1,0.9733009708737864,0.9993400428972116,0.9861486476198984,92.67076003524085,0.913725321186168,0.6761904761904762,86.97920322418213
2020-rfp,GM,1,0.9802529077140476,1.0,0.990027994803579,93.81264538570238,0.8758141898207897,0.7000000000000001,43.06854796409607
Nasa,GM,1,0.9355593061749568,0.2353109707881135,0.3760405792123914,69.8132998809988,0.9053596056415592,0.673202614379085,300.50561714172363
RTF,GM,4,0.9538642093822424,0.9996673302734648,0.976228812568452,94.54890754250596,0.9901556697964397,0.8461538461538463,300.0207281112671
Sepsis,GM,4,0.9697778727039726,0.995635305528613,0.9825364959166324,94.24872866670714,0.9375121746505224,0.8,82.65984082221985
