dataset,miner,model,log_fitness,precision,f1_score,objective_fitness,generalization,simplicity,time
2012,GM,0,0.9122597258015724,0.993641212535353,0.9512129847457992,85.86010689181597,0.8184158494592575,0.6285714285714286,300.380567073822
2020-ptc,GM,0,0.9821419328122574,1.0,0.9909905204606586,90.35321794915778,0.9134552209999064,0.6380952380952382,67.24789118766785
2013-op,GM,0,0.9737892496008516,0.9970243630277106,0.98526983991307,94.34695520270638,0.9550940235716442,0.7599999999999999,2.149590015411377
RTF,GM,0,0.9356979983976802,0.9999580153721648,0.9667613530600212,94.00143866896352,0.9891317998350272,0.8823529411764706,300.08634400367737
2020-dd,GM,0,0.9751318734486922,0.999904770974193,0.9873629589037436,92.5310787650531,0.8755974305623991,0.791044776119403,117.71127200126648
2020-id,GM,0,0.9766120405121376,0.9978169116576916,0.9871006085892507,89.54704260124755,0.903208079870486,0.6333333333333333,300.0220012664795
2017,GM,0,0.9480697486091404,0.5007856549966954,0.6553859396295498,62.6023703135037,0.9394717719849136,0.6853932584269663,300.63202810287476
2019,GM,0,0.8756545362381085,0.5089971508467711,0.6437801914062536,59.29623606009683,0.9290016826461992,0.6149068322981366,301.114933013916
2020-pl,GM,0,0.8228037426462894,0.98801393728223,0.8978723527976658,71.55758355704782,0.7986120141199452,0.6434782608695653,300.2381319999695
2020-rfp,GM,0,0.8921233799114405,0.9983948635634028,0.9422722084197191,89.38469353666193,0.8473208121326735,0.8360655737704916,44.00626802444458
2013-i,GM,0,0.9593166889032168,0.9652639204870422,0.9622811157935738,93.6183472165486,0.9475542114998228,0.8181818181818181,108.0963327884674
2013-cp,GM,0,0.9430601518395952,0.9700703046534984,0.9563745595044976,94.49984636439238,0.943516299642198,0.8,5.601702928543091
Sepsis,GM,0,0.9682831917653458,0.9943181818181818,0.9811280025380548,93.29674358109678,0.9275089014402633,0.8181818181818181,158.80231094360352
