dataset,miner,model,log_fitness,precision,f1_score,objective_fitness,generalization,simplicity,time
2012,GM,0,0.8630017655137197,0.6,0.7078611543936321,74.44873758552686,0.8892948511028614,0.7007874015748031,300.54014682769775
2020-ptc,GM,0,0.9829239274966758,1.0,0.9913884379191076,93.4010983356181,0.9150380106424394,0.7254901960784313,110.3716757297516
2013-op,GM,0,0.9817261118450022,0.9851260656629784,0.9834231501279724,96.11613532929212,0.9662397505383948,0.8,2.565270185470581
RTF,GM,0,0.949035861952364,0.9999268524614148,0.9738169286634806,93.42737644923844,0.992038220457683,0.7777777777777779,230.458820104599
2020-dd,GM,0,0.974024047470331,0.997513983840895,0.9856290799551776,94.04090760302913,0.8794430398018275,0.7714285714285715,75.15667295455933
2020-id,GM,0,0.9880079436655086,0.9315325725841398,0.958939468800041,90.52102224812356,0.9333928513379938,0.5774647887323943,300.0139799118042
2017,GM,0,0.6106084083249503,0.1456363182561912,0.2351798494826989,45.80178455706156,0.9064009964998124,0.652892561983471,302.485511302948
2019,GM,0,0.596089773700162,0.4842840117516024,0.5344016133284972,55.43901767678674,0.8167668482258089,0.6808510638297872,301.04409408569336
2020-pl,GM,0,0.8914698748603979,0.2782744336283836,0.4241495730704338,63.40285375427172,0.8302984935680475,0.6600790513833993,300.04741406440735
2020-rfp,GM,0,0.9845275341135872,1.0,0.9922034511386492,93.80502839107264,0.8874927649491123,0.7078651685393259,51.5600209236145
2013-i,GM,0,0.9711100787782732,0.997760210803689,0.9842547800557492,95.37252090169362,0.9531722766014952,0.7777777777777779,66.29496502876282
2013-cp,GM,0,0.9838753882696876,0.9631001778304684,0.973376942067708,95.7533077140172,0.9466715542315836,0.8181818181818181,4.720764875411987
Sepsis,GM,0,0.9798872384256749,0.9868421052631579,0.9833523747347804,94.07538265493606,0.9437221753539591,0.7575757575757577,126.32382488250732
