Dataset,Discovery Method,F1 Score,Log Fitness,Precision,Objective Fitness,Generalization,Simplicity,Number of Places,Time (s)
2012,GM,0.7432678391830886,0.9497118555933136,0.6105494041475087,78.05078894512766,0.928857981771347,0.6592592592592593,38,300.07192611694336
2012,Inductive Miner,0.238,0.97,0.136,55.83,0.948,0.611,51,9.928393125534058
2012,Split Miner,0.635,0.486,0.916,67.983,0.985,0.818,20,-
2013-cp,GM,0.9563745595044976,0.9430601518395952,0.9700703046534984,95.8357799822341,0.943516299642198,0.8,7,6.306887865066528
2013-cp,Inductive Miner,0.885,1.0,0.793,85.703,0.877,0.66,16,0.0161809921264648
2013-cp,Split Miner,0.761,0.619,0.987,80.528,0.917,1.0,5,-
2013-i,GM,0.9622811157935738,0.9593166889032168,0.9652639204870422,94.57029358858316,0.9475542114998228,0.8181818181818181,8,94.89983010292052
2013-i,Inductive Miner,0.77,1.0,0.626,79.158,0.871,0.667,17,0.126255989074707
2013-i,Split Miner,0.868,0.767,1.0,84.281,0.918,0.846,5,-
2013-op,GM,0.98526983991307,0.9737892496008516,0.9970243630277106,95.64930847703822,0.9550940235716442,0.7599999999999999,8,1.813640832901001
2013-op,Inductive Miner,0.951,1.0,0.907,82.947,0.933,0.692,16,0.0052196979522705
2013-op,Split Miner,0.82,0.698,0.994,85.216,0.959,1.0,4,-
2017,GM,0.6819482034434341,0.8802730960088437,0.5565564396762218,69.10674776817606,0.9456273167875792,0.6852791878172589,61,302.90535616874695
2017,Inductive Miner,0.263,1.0,0.152,63.252,0.948,0.628,93,42.98790097236633
2017,Split Miner,0.757,0.715,0.803,75.158,0.952,0.731,20,-
2019,GM,0.549449706733614,0.9931352792076492,0.3797814371003707,65.21485035919234,0.9261490441544548,0.6057347670250895,63,301.62325501441956
2019,Inductive Miner,0.381,1.0,0.235,56.365,0.915,0.589,80,36.17128896713257
2019,Split Miner,0.677,0.512,0.996,69.722,0.913,0.731,31,-
2020-dd,GM,0.9872305284477464,0.9767776571581608,0.9979095400988216,93.71902620372984,0.8860707636125785,0.7142857142857143,22,53.50580096244812
2020-dd,Inductive Miner,0.562,1.0,0.391,75.426,0.855,0.6,26,1.2065589427947998
2020-dd,Split Miner,0.905,0.923,0.887,88.409,0.816,0.667,12,-
2020-id,GM,0.9525693374629692,0.9104614095670012,0.9987610345361624,85.81226774304976,0.887549881700792,0.6816326530612246,65,300.0514690876007
2020-id,Inductive Miner,0.376,0.97,0.233,50.992,0.877,0.622,93,0.4907832145690918
2020-id,Split Miner,0.853,0.759,0.972,81.785,0.904,0.655,21,-
2020-pl,GM,0.5475431683604689,0.866886834585854,0.4001397398688595,70.31619337527613,0.8429817870670804,0.6437246963562754,127,300.3808560371399
2020-pl,Inductive Miner,0.185,1.0,0.102,51.849,0.862,0.595,100,4.596970796585083
2020-pl,Split Miner,0.812,0.704,0.958,77.304,0.865,0.654,32,-
2020-ptc,GM,0.985186698083493,0.9725204713598514,0.9981872116018458,92.84736807138776,0.9155137396569312,0.7475728155339807,32,111.59054684638976
2020-ptc,Inductive Miner,0.269,0.986,0.156,58.923,0.886,0.59,58,0.2907202243804931
2020-ptc,Split Miner,0.764,0.636,0.958,75.691,0.88,0.699,20,-
2020-rfp,GM,0.9728409025052271,0.9489079782157094,0.9980123139574344,91.7328271530379,0.90156046994432,0.7647058823529413,33,72.69612073898315
2020-rfp,Inductive Miner,0.501,1.0,0.334,72.984,0.867,0.6,33,0.0683679580688476
2020-rfp,Split Miner,0.823,0.829,0.816,81.291,0.811,0.66,13,-
Nasa,GM,0.3851310715783248,0.9360568369386386,0.2424403433577745,69.72500770343638,0.8974599260593763,0.6774193548387096,130,300.10658264160156
Nasa,Inductive Miner,0.326,0.986,0.195,61.328,0.937,0.662,126,4.709702014923096
Nasa,Split Miner,0.619,0.577,0.667,63.229,0.949,0.829,39,-
RTF,GM,0.9713880413108736,0.9446392565366212,0.9996958301469628,94.73563314529768,0.9897052408154866,0.8888888888888888,15,300.05085015296936
RTF,Inductive Miner,0.773,1.0,0.63,63.194,0.975,0.624,29,0.633450984954834
RTF,Split Miner,0.878,0.786,0.994,87.292,0.987,0.92,11,-
Sepsis,GM,0.9912642004524586,0.9882289218388804,0.9943181818181818,94.01734964243454,0.9200799464574676,0.7000000000000001,22,107.98792386054993
Sepsis,Inductive Miner,0.486,1.0,0.321,66.013,0.902,0.622,39,0.223682165145874
Sepsis,Split Miner,0.811,0.691,0.98,80.549,0.915,0.789,13,-
