simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,objective_fitness,f1_score,dataset,miner,time,ftr_fitness
0.66,0.916,46.535,0.94,0.944,46.535,0.673,79.857,0.786,2012,Genetic Miner,303.1679878234863,0.9470864249635029
0.631,0.908,0.0,0.976,0.979,0.0,0.9,89.95,0.938,2020-ptc,Genetic Miner,101.43874979019165,0.9787398277178777
0.76,0.955,78.144,0.98,0.974,78.144,0.997,95.649,0.985,2013-op,Genetic Miner,1.913210153579712,0.9787715517241379
0.739,0.992,32.96,0.93,0.957,32.96,0.996,92.981,0.976,RTF,Genetic Miner,193.16815519332886,0.9571314513877871
0.658,0.915,0.0,0.944,0.959,0.0,0.998,91.766,0.978,2020-dd,Genetic Miner,42.602341175079346,0.9590387882493624
0.574,0.864,0.0,0.975,0.977,0.0,0.999,91.281,0.988,2020-id,Genetic Miner,301.22749376296997,0.9767896846532652
0.68,0.948,0.774,0.956,0.96,0.774,0.536,73.446,0.688,2017,Genetic Miner,302.4872009754181,0.9293628099358371
0.641,0.868,0.297,0.915,0.918,0.297,0.151,63.528,0.259,2020-pl,Genetic Miner,301.19518065452576,0.8494280675310895
0.758,0.856,0.0,0.965,0.974,0.0,1.0,94.158,0.987,2020-rfp,Genetic Miner,69.1788260936737,0.973651609626531
0.778,0.943,0.013,0.955,0.969,0.013,0.998,94.979,0.983,2013-i,Genetic Miner,79.00761580467224,0.9693616365340072
0.8,0.944,89.24,0.988,0.983,89.24,0.963,95.625,0.973,2013-cp,Genetic Miner,4.061529159545898,0.9886428489898413
0.771,0.949,0.0,0.971,0.986,0.0,0.994,94.555,0.99,Sepsis,Genetic Miner,130.734304189682,0.9863048489821435
0.68,0.901,5.339,0.932,0.936,5.339,0.235,69.746,0.376,Nasa,Genetic Miner,312.17517495155334,0.9588334907477043
0.6,0.927,95.576,0.995,0.996,95.576,0.39,65.066,0.561,2019,Genetic Miner,319.08059787750244,0.8646427949334244
