dataset,miner,model,log_fitness,precision,f1_score,objective_fitness,generalization,simplicity,time
2012,GM,0,0.9548768850208432,0.8333203655194474,0.889967093519711,85.36460403174397,0.8960421493105373,0.6688741721854304,300.20822191238403
2012,GM,1,0.9012696422592488,0.9532666958837608,0.9265392284921206,87.15246148388604,0.7796531702331042,0.6275862068965516,300.0248200893402
2012,GM,2,0.9256653900987032,0.7103026886311443,0.8038086120486967,81.60975081572909,0.8680449464093393,0.6307692307692307,300.32043981552124
2012,GM,3,0.9452299181126734,0.8980881641163111,0.9210562300773526,87.68244699564983,0.921058860581075,0.6910569105691056,300.03271222114563
2012,GM,4,0.9418210440130692,1.0,0.9700389713221488,89.8554273556342,0.8934675352541215,0.6934306569343065,300.14113998413086
2020-ptc,GM,0,0.9872823865958316,1.0,0.993600500115158,93.18376453141964,0.9185863354815376,0.6428571428571429,99.56064891815186
2020-ptc,GM,1,0.9733009708737864,0.9993400428972116,0.9861486476198984,92.67076003524085,0.913725321186168,0.6761904761904762,86.97920322418213
2020-ptc,GM,2,0.97964141387134,0.9984892358051114,0.9889755328945778,92.12739524973472,0.923072596422611,0.6690647482014388,54.47955298423767
2020-ptc,GM,3,0.977740890187803,1.0,0.988745184001286,93.08704450939015,0.9114792690939038,0.6799999999999999,79.76385712623596
2020-ptc,GM,4,0.9726836882595608,0.9986885907394332,0.9855146206645736,92.06984213516102,0.9225021501234432,0.6875,153.41672801971436
2013-op,GM,0,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,2.3190648555755615
2013-op,GM,1,0.9933440903590158,0.969794863511549,0.981428232199646,95.41958579190825,0.9631121374686912,0.7142857142857143,1.831813097000122
2013-op,GM,2,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,2.041149854660034
2013-op,GM,3,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,2.070716381072998
2013-op,GM,4,0.9756730056804148,0.9970243630277106,0.986233136863656,96.29376586437532,0.9624635631543692,0.8181818181818181,2.003568172454834
RTF,GM,0,0.9479080202346089,0.9999570337843354,0.9732371246750264,94.54999504674272,0.9900543106715336,0.8461538461538463,300.05542278289795
RTF,GM,1,0.9737557639661568,0.7908488247215627,0.8728228481726625,91.02177376642356,0.990675901249252,0.7254901960784313,185.96912384033203
RTF,GM,2,0.9634691348946144,0.9991079278401284,0.9809649457139132,94.14930249618574,0.9482541302344956,0.8039215686274508,248.14858293533325
RTF,GM,3,0.9551645048161016,0.9994208484248108,0.9767916435122412,94.75457363608449,0.9904993739665,0.853658536585366,300.70390582084656
RTF,GM,4,0.9538642093822424,0.9996673302734648,0.976228812568452,94.54890754250596,0.9901556697964397,0.8461538461538463,300.0207281112671
2020-dd,GM,0,0.9858373188741424,0.997719931597948,0.9917430335017732,93.72776496691438,0.9049920033254713,0.7204301075268819,69.23319101333618
2020-dd,GM,1,0.963519219505372,0.9999681183447044,0.9814053621274872,92.847731798337,0.8987418258575959,0.7272727272727273,45.93642616271973
2020-dd,GM,2,0.9845844760423552,0.997719931597948,0.991108683714968,93.7784276983507,0.8972995966016445,0.7011494252873564,64.88718581199646
2020-dd,GM,3,0.9836810729192904,0.9979095400988216,0.9907442239905608,93.86419699178632,0.895414500766586,0.7142857142857143,60.32200598716736
2020-dd,GM,4,0.9765655658361748,0.998668695321415,0.9874934621252224,93.306520969633,0.8966827968757008,0.6818181818181818,57.85702109336853
2020-id,GM,0,0.9572093096846668,0.9969422700587084,0.976671852900664,90.24131311941392,0.943004333050317,0.6331360946745562,300.029324054718
2020-id,GM,1,0.938804140438862,0.5809495821819439,0.7177450727978487,76.6296044329355,0.908836299873158,0.6647398843930635,300.0072009563446
2020-id,GM,2,0.93121522262805,0.5451033157967604,0.6876679962531287,75.0153126680763,0.9040691379715916,0.6867469879518072,300.0018780231476
2020-id,GM,3,0.9436448053480372,0.9793970610513558,0.9611885889563888,87.14816730500463,0.919211904762082,0.6431535269709544,300.0861990451813
2020-id,GM,4,0.9637021263194108,1.0,0.9815155907843198,90.91588503103064,0.9408883895597232,0.6455696202531647,300.01498007774353
2017,GM,0,0.978408524019522,0.4917575363693358,0.6545379849230598,73.47188352408524,0.9580909216610788,0.6808510638297872,301.6452159881592
2017,GM,1,0.8784114729160313,0.5565564396762218,0.6813888417250057,71.99204459300192,0.954281937719417,0.6864864864864865,301.84372901916504
2017,GM,2,0.978328355400356,0.3292301522491551,0.4926665866403614,68.6342739343616,0.9608137206600054,0.6799999999999999,303.4913170337677
2017,GM,3,0.9744715321191064,0.6241299193024057,0.76091115538919,76.44376418874339,0.953584546136993,0.6893203883495146,300.9279727935791
2017,GM,4,0.9697224570948184,0.4637336068855847,0.6274247310487218,71.33933980964389,0.9489861650715146,0.673076923076923,301.8430280685425
2019,GM,0,0.9933895040074092,0.386388551324919,0.5563711205167033,65.18209645512525,0.9257441717314338,0.6085409252669038,301.8285677433014
2019,GM,1,0.9940212796038314,0.4219115711264998,0.5923855493493316,64.8282759352087,0.931458791291144,0.6237623762376238,304.17620396614075
2019,GM,2,0.8883943456030592,0.520998480121609,0.6568106426536411,67.98657273303641,0.8394383644880854,0.6050156739811912,301.41929388046265
2019,GM,3,0.9872669875419696,0.3785989135817447,0.5473131858566785,65.39875185238023,0.9271769079540072,0.6028368794326242,303.4334542751312
2019,GM,4,0.9913443463883034,0.4123817725866362,0.5824673820358647,65.46133483558839,0.9278256997571436,0.6000000000000001,302.14187383651733
2020-pl,GM,0,0.9539354703510368,0.8758646245059288,0.9132345493808814,78.03489128963153,0.8998580852123857,0.6160714285714285,300.37693905830383
2020-pl,GM,1,0.933372614504512,0.8816362053959965,0.9067670427269946,75.29683583446976,0.8703050824458441,0.6363636363636362,300.22109484672546
2020-pl,GM,2,0.9452796327752592,0.1782916410888992,0.2999995833567194,66.26627670182094,0.8613187521696287,0.628099173553719,300.13998103141785
2020-pl,GM,3,0.9255822751544238,0.1859686178811772,0.309710077198005,64.7991936683471,0.8821205133350735,0.6308316430020284,300.06134605407715
2020-pl,GM,4,0.9109021032154402,0.9931353320257776,0.9502429374296808,79.9817436870697,0.8251640289317456,0.6319290465631929,300.501220703125
2020-rfp,GM,0,0.9758853354487076,0.9997868409833736,0.9876915090764348,93.7488476116927,0.8814589477608634,0.7560975609756097,86.54291677474976
2020-rfp,GM,1,0.9802529077140476,1.0,0.990027994803579,93.81264538570238,0.8758141898207897,0.7000000000000001,43.06854796409607
2020-rfp,GM,2,0.9812480124470097,1.0,0.990535264926358,93.86240062235048,0.8756946025989532,0.7000000000000001,53.51460099220276
2020-rfp,GM,3,0.9681985704712978,0.9991984260001456,0.9834542691745476,94.06365908134704,0.850910166882122,0.7777777777777779,51.70030903816223
2020-rfp,GM,4,0.9864712625309018,1.0,0.9931895629580556,93.59069272412734,0.8910525712430382,0.6595744680851063,50.71110510826111
2013-i,GM,0,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,110.6783561706543
2013-i,GM,1,0.9693616365340072,0.9977590297917216,0.983355360494528,94.9786304982298,0.9433530764073944,0.7777777777777779,87.09975099563599
2013-i,GM,2,0.9693616365340072,0.9977590297917216,0.983355360494528,94.9786304982298,0.9433530764073944,0.7777777777777779,92.8077037334442
2013-i,GM,3,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,96.2415018081665
2013-i,GM,4,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,88.31171202659607
2013-cp,GM,0,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,6.380457878112793
2013-cp,GM,1,0.9294330518697226,0.9700703046534984,0.949316989291954,95.64368101801892,0.939274697416565,0.7777777777777779,4.2707648277282715
2013-cp,GM,2,0.9828956294214556,0.9631001778304684,0.9728972199805422,95.62514778440612,0.9435572822315668,0.8,4.889250755310059
2013-cp,GM,3,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,6.463659048080444
2013-cp,GM,4,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,8.367525100708008
Sepsis,GM,0,0.9573967109377874,0.9961032635168048,0.9763665223611216,92.64806134850846,0.942844269587088,0.7222222222222222,87.01808714866638
Sepsis,GM,1,0.9753334919211696,0.9943181818181818,0.9847343439282356,94.85540372407333,0.9327275371046192,0.7959183673469388,170.86684107780457
Sepsis,GM,2,0.9745050945056912,0.9780848022868032,0.9762916670344468,93.93879794689944,0.933875456697954,0.7959183673469388,71.01939582824707
Sepsis,GM,3,0.9668430335097,0.9961032635168048,0.9812550679011222,94.48443325445854,0.9323126346440136,0.7959183673469388,84.49863004684448
Sepsis,GM,4,0.9697778727039726,0.995635305528613,0.9825364959166324,94.24872866670714,0.9375121746505224,0.8,82.65984082221985
Nasa,GM,0,0.9407084124050342,0.24244034335777453,0.385523239393483,69.99843256486903,0.9044626661854693,0.6833667334669339,300.7795488834381
Nasa,GM,1,0.9355593061749568,0.23531097078811358,0.3760405792123914,69.8132998809988,0.9053596056415593,0.673202614379085,300.50561714172363
Nasa,GM,2,0.9391232641721967,0.222240261497332,0.3594240652383751,69.78236929725747,0.9100437761803404,0.6784968684759916,300.30660009384155
Nasa,GM,3,0.9374806769801118,0.22858892290564992,0.3675555871051569,69.76671597714783,0.9190810128365652,0.6788008565310492,300.4909870624542
Nasa,GM,4,0.9400326467281206,0.24244034335777453,0.385466458094283,69.9967957076746,0.9074911457759625,0.6774193548387096,300.702978849411
