Dataset,Metric,Score
2013-op,Replay Fitness,0.9737892496008516
2013-op,Replay Fitness,0.9737892496008516
2013-op,Replay Fitness,0.9737892496008516
2013-op,Replay Fitness,0.9737892496008516
2013-op,Replay Fitness,0.9737892496008516
2013-op,Objective Fitness,0.9564930847703822
2013-op,Objective Fitness,0.9564930847703822
2013-op,Objective Fitness,0.9564930847703822
2013-op,Objective Fitness,0.9564930847703822
2013-op,Objective Fitness,0.9564930847703822
2020-dd,Replay Fitness,0.965647593415048
2020-dd,Replay Fitness,0.9510236681993988
2020-dd,Replay Fitness,0.9602565285853728
2020-dd,Replay Fitness,0.986536190199442
2020-dd,Replay Fitness,0.9592663841577204
2020-dd,Objective Fitness,0.9262237994283532
2020-dd,Objective Fitness,0.9114257803317192
2020-dd,Objective Fitness,0.9283914270688252
2020-dd,Objective Fitness,0.8665829209445072
2020-dd,Objective Fitness,0.9208430660504234
2020-ptc,Replay Fitness,0.986329498291965
2020-ptc,Replay Fitness,0.9843021393781808
2020-ptc,Replay Fitness,0.954030296906883
2020-ptc,Replay Fitness,0.9845536067768064
2020-ptc,Replay Fitness,0.9524927242175067
2020-ptc,Objective Fitness,0.9292567752933184
2020-ptc,Objective Fitness,0.9274055486330072
2020-ptc,Objective Fitness,0.8974839949354393
2020-ptc,Objective Fitness,0.9263192569119244
2020-ptc,Objective Fitness,0.903042894060986
2020-rfp,Replay Fitness,0.9722165318440468
2020-rfp,Replay Fitness,0.964058360702959
2020-rfp,Replay Fitness,0.9616222323472013
2020-rfp,Replay Fitness,0.9804479566442367
2020-rfp,Replay Fitness,0.9846033748202772
2020-rfp,Objective Fitness,0.8971792709427961
2020-rfp,Objective Fitness,0.845091737828052
2020-rfp,Objective Fitness,0.924935476205107
2020-rfp,Objective Fitness,0.9332848732457808
2020-rfp,Objective Fitness,0.9387134521160209
