random_creation_rate,elite_rate,population_size,tournament_size,tournament_rate,tournament_mutation_rate,log_filtering,objective_fitness,dataset
0.02,0.33,45,0.25,0.43,0.88,0.0,0.9562514778440613,2013-cp
0.17,0.5,46,0.21,0.48,0.75,-0.0,0.958357799822341,2013-cp
0.15,0.35,47,0.28,0.47,0.85,0.01,0.958357799822341,2013-cp
0.12,0.34,43,0.27,0.43,0.86,0.01,0.9564368101801892,2013-cp
0.06,0.45,45,0.22,0.58,0.72,-0.0,0.958357799822341,2013-cp
0.19,0.32,46,0.27,0.41,0.77,0.01,0.9562514778440613,2013-cp
0.19,0.31,44,0.27,0.55,0.73,0.0,0.9562514778440613,2013-cp
0.1,0.33,48,0.29,0.51,0.88,0.0,0.958357799822341,2013-cp
0.18,0.33,43,0.27,0.47,0.81,0.01,0.9562514778440613,2013-cp
0.1,0.38,45,0.24,0.51,0.7,0.01,0.9562514778440613,2013-cp
0.1,0.37,40,0.25,0.6,0.71,0.0,0.9562514778440613,2013-cp
0.19,0.43,47,0.28,0.55,0.76,0.01,0.958357799822341,2013-cp
0.08,0.32,43,0.29,0.56,0.77,0.01,0.9562514778440613,2013-cp
0.06,0.49,48,0.22,0.5,0.81,-0.01,0.9562514778440613,2013-cp
0.17,0.35,46,0.25,0.45,0.79,-0.0,0.958357799822341,2013-cp
0.1,0.31,49,0.23,0.56,0.77,-0.01,0.9562514778440613,2013-cp
0.17,0.35,44,0.27,0.48,0.87,0.0,0.958357799822341,2013-cp
0.16,0.47,44,0.24,0.45,0.89,0.01,0.958357799822341,2013-cp
0.18,0.49,48,0.21,0.44,0.8,0.0,0.958357799822341,2013-cp
0.0,0.38,46,0.26,0.55,0.76,-0.01,0.958357799822341,2013-cp
