Dataset,Number of Traces,Number of Unique Traces,Average Trace Length,Number of Activities,Average Shannon Entropy
2012,13087,4366,20,24,2.22
2020-ptc,2099,202,8,29,3.03
2013-op,819,108,2,3,0.63
RTF,150370,231,3,11,1.73
2020-dd,10500,99,5,17,2.33
2015-1,1199,1170,43,398,5.25
2020-id,6449,753,11,34,3.38
2017,31509,15930,38,26,3.35
2019,251734,11973,6,42,2.27
2020-pl,7065,1478,12,51,3.32
2020-rfp,6886,89,5,19,2.33
2015-4,1053,1049,44,356,5.35
2015-3,1409,1349,42,383,5.2
2015-2,832,828,53,410,5.55
2015-5,1156,1153,51,389,5.55
2013-i,7554,1511,8,4,1.18
2013-cp,1487,183,4,4,1.07
Sepsis,1050,846,14,16,2.94
Nasa,2566,2513,28,47,3.7
